D2006285000100001000000000004530243005200601250520062378                REFERENTE A FORNECIMENTO DE LANCHES.                                                                                    D-1      2    3008200730052006                                                                                                                                                                          
D2006285000100002000000000007980002203200601060320065430                REFERENTE A LOCAÇÃO DE EQUIPAMENTOS.                                                                                    SERVIÇOS UNICO1711200722032006                                                                                                                                                                          
D200628500030001600000000000006985270420060427042006FOLHA ABR/06 - PENS.FOLHA DE PAGAMENTO DO MES DE ABRIL/2006                                                                                               3011000227042006                                                                                                                                                                          
D200628500030001700000000000017340270420060327042006FOLHA ABR/06 - PENS.FOLHA DE PAGAMENTO DO MES DE ABRIL/2006                                                                                               3011000227042006                                                                                                                                                                          
D200628500030001800000000005206459300520060330052006FOLHA MAIO/06       FOLHA DE PAGAMENTO MAIO DE 2006                                                                                                       3011000230052006                                                                                                                                                                          
D200628500030001900000000000870101300520060430052006FOLHA MAIO/06       FOLHA DE PAGAMENTO MAIO DE 2006                                                                                                       3011000230052006                                                                                                                                                                          
D200628500030002000000000000007872300520060430052006FOLHA MAIO/06       FOLHA DE PAGAMENTO MAIO DE 2006                                                                                                       3011000230052006                                                                                                                                                                          
D200628500030002100000000000020020300520060330052006FOLHA DE MAIO/06    FOLHA DE PAGAMENTO MAIO DE 2006                                                                                                       3011000230052006                                                                                                                                                                          
D200628500030002300000000000832418290620060429062006FOLHA JUNHO/2006    PAGAMENTO DA FOLHA DE JUNHO/2006                                                                                                      3011000229062006                                                                                                                                                                          
D200628500030002400000000000008416290620060429062006FOLHA JUNHO/2006    PAGAMENTO DA FOLHA DE JUNHO/2006                                                                                                      3011000229062006                                                                                                                                                                          
D200628500030002500000000000019019290620060329062006FOLHA JUNHO /2006   PAGAMENTO DA FOLHA DE JUNHO DE 2006                                                                                                   3011000229062006                                                                                                                                                                          
D200628500030002600000000005243598290620060329062006FOLHA JUNHO/2006    PAGAMENTO DA FOLHA DE JUNHO/2006                                                                                                      3011000229062006                                                                                                                                                                          
D200628500030002700000000005205398280720060328072006JULHO 2006          PAGAMENTO DE PESSOAL MÊS DE JULHO                                                                                                     3011000228072006                                                                                                                                                                          
D200628500030002800000000000870618280720060428072006JULHO 2006          PAGAMENTO DE PESSOAL MÊS DE JULHO                                                                                                     3011000228072006                                                                                                                                                                          
D200628500030002900000000000008416280720060428072006JULHO 2006          PAGAMENTO DE PESSOAL DO MÊS DE JULHO                                                                                                  3011000228072006                                                                                                                                                                          
D200628500030003000000000000020020280720060328072006JULHO 2006          PAGAMENTO DE PESSOAL DO MÊS DE JULHO                                                                                                  3011000228072006                                                                                                                                                                          
D200628500030003100000000005191713250820060325082006FOLHA/AGO/06        FOLHA DE PAGAMENTO DO MES DE AGO/06                                                                                                   3011000225082006                                                                                                                                                                          
D200628500030003200000000000884303250820060425082006FOLHA/AGO/06        FOLHA DE PAGAMENTO DO MES DE AGO/06                                                                                                   3011000225082006                                                                                                                                                                          
D200628500030003300000000000008416250820060425082006FOLHA/AGO/06        FOLHA DE PAGAMENTO DO MES DE AGO/06                                                                                                   3011000225082006                                                                                                                                                                          
D200628500030003400000000000020020250820060325082006FOLHA/AGO/06        FOLHA DE PAGAMENTO DO MES DE AGO/06                                                                                                   3011000225082006                                                                                                                                                                          
D200628500030003500000000005138577250920060325092006SETEMBRO/06         PAGTO DA FOLHA DE PESSOAL                                                                                                             3011000225092006                                                                                                                                                                          
D200628500030003600000000000937439250920060425092006SETEMBRO/06         PAGTO DA FOLHA DE PESSOAL                                                                                                             3011000225092006                                                                                                                                                                          
D200628500030003700000000000008416250920060425092006SETEMBRO/06         PAGTO DA FOLHA DE PESSOAL                                                                                                             3011000225092006                                                                                                                                                                          
D200628500030003800000000000020020250920060325092006SETEMBRO/06         PAGTO DA FOLHA DE PESSOAL                                                                                                             3011000225092006                                                                                                                                                                          
D200628500030003900000000005146983271020060327102006FOLHA PAG/OUTUBRO   PAGAMENTO DA FOLHA DE PESSOAL/OUTUBRO DE 2006                                                                                         3011000227102006                                                                                                                                                                          
D200628500030004000000000000929033271020060427102006FOLHA PAG./OUTUBRO  PAGAMENTO DA FOLHA DE PESSOAL/OUTUBRO DE 2006                                                                                         3011000227102006                                                                                                                                                                          
D200628500030004100000000000008416271020060427102006FOLHA PAG./OUTUBRO  PAGAMENTO DA FOLHA DE PESSOAL/OUTUBRO DE 2006                                                                                         3011000227102006                                                                                                                                                                          
D200628500030004200000000000020020271020060327102006FOLHA PAG./OUTUBRO  PAGAMENTO DA FOLHA DE PESSOAL/OUTUBRO DE 2006                                                                                         3011000227102006                                                                                                                                                                          
D200628500030004300000000005221044301120060330112006FOLHA NOV/2006      PAGAMENTO DE PESSOAL PENSIONISTA KMMA                                                                                                 3011000230112006                                                                                                                                                                          
D200628500030004400000000000853254301120060430112006FOLHA NOV/2006      PAGAMENTO DE PESSOAL PENSIONISTA DO MES  DE NOVEMBRO/2006                                                                             3011000230112006                                                                                                                                                                          
D200628500030004500000000000010134301120060330112006FOLHA NOV/2006      PAGAMENTO DE PESSOAL PENSIONISTA DO MES  DE NOVEMBRO/2006                                                                             3011000230112006                                                                                                                                                                          
D200628500030004600000000000020020301120060330112006FOLHA NOV/2006      PAGAMENTO DE PESSOAL PENSIONISTA DO MES  DE NOVEMBRO/2006                                                                             3011000230112006                                                                                                                                                                          
D200628500030004700000000005145394291220060329122006FOLHA/DEZ 2006      PAGAMENTO DA FOLHA DE PESSOAL DE DEZEMBRO DE 2006                                                                                     3011000229122006                                                                                                                                                                          
D200628500030004800000000000880157291220060429122006FOLHA/DEZ 2006      PAGAMENTO DA FOLHA DE PESSOAL DE DEZEMBRO DE 2006                                                                                     3011000229122006                                                                                                                                                                          
D200628500030004900000000000006429291220060429122006FOLHA/DEZ 2006      PAGAMENTO DA FOLHA DE PESSOAL DE DEZEMBRO DE 2006                                                                                     3011000229122006                                                                                                                                                                          
D200628500030005000000000000020020291220060329122006FOLHA/DEZ 2006      PAGAMENTO DA FOLHA DE PESSOAL DE DEZEMBRO DE 2006                                                                                     3011000229122006                                                                                                                                                                          
D200628500040000100000000000018150140920060124082006065 - INSS          REFERENTE AO DESCONTO DO INSS.                                                                                          SERVIÇOS UNICO0202200814092006                                                                                                                                                                          
D200628500040000100000000000008250140920060124082006065 - ISSQN         REFERENTE AO DESCONTO DO ISSQN.                                                                                         SERVIÇOS UNICO0202200814092006                                                                                                                                                                          
D200628500040000100000000001073600140920060124082006065 - LIQUIDO       REFERENTE A SERVIÇOS DE CONFECÇÃO E INSTALAÇÃO DE QUADRO DE COMANDO PARA DUAS BOMBAS A VACUO PARA O HUGO.               SERVIÇOS UNICO0202200814092006                                                                                                                                                                          
D20062850013000010000000000005617228072006012807200659239               "Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi processada na época própria."          2        1    0610200728072006                                                                                                                                                                          
D200628500160000100000000000020254161020060916102006200600010010651     RECOLHIMENTO DE SALDO REMANESCENTE SC 25.511/04 UNESCO                                                                                3011000216102006                                                                                                                                                                          
D2006285001700002000000000002407680604200601230320061406                AQUISIÇÃO DE CADEIRA.                                                                                                   1        1    0909200706042006                                                                                                                                                                          
D20062850017000060000000000015000008082006010808200614578               "Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi processada na época própria            2        1    3005200708082006                                                                                                                                                                          
D200628500220000100000000000018750250720060925072006DIÁRIASLIQ02        PAGAMENTO DE DIÁRIAS DO GABINETE. . KDS                                                                                               3011000225072006                                                                                                                                                                          
D200628500240000100000000000030000050420060905042006DIARIAS             pagamento de diarias                                                                                                                  3011000205042006                                                                                                                                                                          
D2006285003300001000000000012600001311200601040920064033                AQUISIÇÃO DE APARELHOS, EQUIPAMENTOS E UTENSILIOS HOSPITALARES.                                                         2        1    1110200713112006                                                                                                                                                                          
D200628500330000200000000002600000171020060119092006187122              REL. A AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES                                                                           1        1    3112200617102006                                                                                                                                                                          
D200628500390000100000000000030000060320060906032006DIARIAS             PAGAMENTO DE DIARIAS                                                                                                                  3011000206032006                                                                                                                                                                          
D200628500390000200000000000021000140320060914032006DIARIAS             PAGAMENTO DE DIARIAS                                                                                                                  3011000214032006                                                                                                                                                                          
D200628500390000300000000000009000070420060907042006DIARIAS             PAGAMENTO DE DIARIAS                                                                                                                  3011000207042006                                                                                                                                                                          
D200628500390000400000000000042000050720060905072006DIÁRIAS 001         PAGAMENTO DE DIÁRIAS.                                                                                                                 3011000205072006                                                                                                                                                                          
D200628500390000400000000000009000140720060914072006DIÁRIASLIQ.01       PAGAMENTO DE DIÁRIAS DA GERÊNCIA DE APOIO AS REGIONAIS DE SAÚDE E EMBULATÓRIO 24 HORAS. . SR.                                         3011000214072006                                                                                                                                                                          
D200628500390000500000000000003000130720060913072006DIARIAS             PAGAMENTO DE DIARIAS                                                                                                                  3011000213072006                                                                                                                                                                          
D200628500390000600000000000015000150820060915082006DIÁRIAS             PAGAMENTO DE DIÁRIAS                                                                                                                  3011000215082006                                                                                                                                                                          
D200628500390000700000000000018000150820060915082006DIARIAS             PAGAMENTO DE DIARIAS                                                                                                                  3011000215082006                                                                                                                                                                          
D200628500390000800000000000006000150820060915082006DIARIAS             PAGAMENTO DE DIARIAS                                                                                                                  3011000215082006                                                                                                                                                                          
D200628500390000900000000000009000170820060917082006DIÁRIAS             PAGTO DE DIÁRIAS                                                                                                                      3011000217082006                                                                                                                                                                          
D200628500390001000000000000003000210820060921082006DIÁRIAS             PAGAMENTO DE DIÁRIAS                                                                                                                  3011000221082006                                                                                                                                                                          
D200628500390001100000000000018000210820060921082006DIÁRIAS             PAGAMENTO DE DIÁRIAS                                                                                                                  3011000221082006                                                                                                                                                                          
D200628500390001200000000000018000210820060921082006DIÁRIAS             PAGAMENTO DE DIÁRIAS                                                                                                                  3011000221082006                                                                                                                                                                          
D200628500390001300000000000006000210820060921082006DIÁRIAS             PAGAMENTO DE DIÁRIAS                                                                                                                  3011000221082006                                                                                                                                                                          
D200628500390001400000000000063000210820060921082006DIÁRIAS             PAGAMENTO DE DIÁRIAS                                                                                                                  3011000221082006                                                                                                                                                                          
D200628500390001500000000000003750220820060922082006DIARIAS             PAGAMENTO DE DIARIAS                                                                                                                  3011000222082006                                                                                                                                                                          
D200628500390001600000000000027000230820060923082006DIÁRIAS             PAGAMENTO DE DIÁRIAS                                                                                                                  3011000223082006                                                                                                                                                                          
D200628500390001700000000000006000240820060924082006200600010004429     PAGAMENTO DE DIARIAS                                                                                                                  3011000224082006                                                                                                                                                                          
D200628500390001800000000000009000250820060925082006DIÁRIAS             PAGTO DE DIÁRIAS                                                                                                                      3011000225082006                                                                                                                                                                          
D200628500390001900000000000009000250820060925082006DIÁRIAS             PAGTO DE DIÁRIAS                                                                                                                      3011000225082006                                                                                                                                                                          
D200628500460000100000000000036424270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000200000000100870498270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000300000000125078836270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000400000000092073180270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000500000000000069187270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000600000000494663848270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000700000000181800138270120060427012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000800000000029915863270120060427012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460000900000000118791544270120060427012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001000000000070232701270120060427012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001100000000008809449270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001200000000000564486270120060927012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001300000000069912479270120060927012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001400000000000245978270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001500000000345358237270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001600000000050723796270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001700000000002241243270120060927012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500460001800000000000072219220220060922022006AUXILIO FUNERAL     REFERENTE A AUXILIO FUNERAL.                                                                                                          3011000222022006                                                                                                                                                                          
D200628500460001900000000000150000220220060922022006AUXILIO FUNERAL     REFERENTE A AUXILIO FUNERAL.                                                                                                          3011000222022006                                                                                                                                                                          
D200628500460002000000000000034854200220060320022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500460002100000000086469819200220060320022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500460002200000000132097064200220060320022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500460002300000000000062751200220060920022006MULTA/FGTS/JAN/06   PAGAMENTO COMPLEMENTAR (MULTA) FGTS JAN/06 KMMA                                                                                       3011000220022006                                                                                                                                                                          
D200628500460002400000000026972345200220060320022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500460002500000000000069187200220060320022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
